OBJECTID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Total Population - Margin of Error,"White alone, Not Hispanic or Latino Population","White alone, Not Hispanic or Latino Population - Margin of Error","Black or African American alone, Not Hispanic or Latino Population","Black or African American alone, Not Hispanic or Latino Population - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino Population","American Indian and Alaska Native alone, Not Hispanic or Latino Population - Margin of Error","Asian alone, Not Hispanic or Latino Population","Asian alone, Not Hispanic or Latino Population - Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino Population","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino Population - Margin of Error","Some Other Race alone, Not Hispanic or Latino Population","Some Other Race alone, Not Hispanic or Latino Population - Margin of Error","Two or More Races, Not Hispanic or Latino Population","Two or More Races, Not Hispanic or Latino Population - Margin of Error",Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,"Percent of Population that is White alone, Non-Hispanic","Percent of Population that is White alone, Non-Hispanic - Margin of Error","Percent of Population that is Black or African American alone, Non-Hispanic","Percent of Population that is Black or African American alone, Non-Hispanic - Margin of Error","Percent of Population that is American Indian and Alaska Native alone, Non-Hispanic","Percent of Population that is American Indian and Alaska Native alone, Non-Hispanic - Margin of Error","Percent of Population that is Asian alone, Non-Hispanic","Percent of Population that is Asian alone, Non-Hispanic - Margin of Error","Percent of Population that is Native Hawaiian and Other Pacific Islander alone, Non-Hispanic","Percent of Population that is Native Hawaiian and Other Pacific Islander alone, Non-Hispanic - Margin of Error","Percent of Population that is Some Other Race alone, Non-Hispanic","Percent of Population that is Some Other Race alone, Non-Hispanic - Margin of Error","Percent of Population that is 2 or More Races, Non-Hispanic","Percent of Population that is 2 or More Races, Non-Hispanic - Margin of Error",Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Shape_Length,Shape_Area
906,01097001901,5750609,1377060,Census Tract 19.01,Alabama,Mobile County,2032,313,834,167,1060,219,0,12,18,34,0,12,86,132,34,35,0,12,41,5.251148482,52.2,7.182584845,0,0.590551181,0.9,1.667655495,0,0.590551181,4.2,6.463267951,1.7,1.703048657,0,0.590551181,36389.66584,7795952.626
907,01097001902,5320422,983906,Census Tract 19.02,Alabama,Mobile County,3481,718,2029,676,1239,336,0,12,0,12,0,12,104,169,28,36,81,90,58.3,15.25064187,35.6,6.266614642,0,0.344728526,0,0.344728526,0,0.344728526,3,4.815658026,0.8,1.020790599,2.3,2.540524763,23356.54152,7206189.563
908,01097006407,165068021,5302174,Census Tract 64.07,Alabama,Mobile County,6375,1735,5617,1712,497,238,60,91,0,17,0,17,17,27,29,48,155,135,88.1,12.08967873,7.8,3.071795599,0.9,1.404280845,0,0.266666667,0,0.266666667,0.3,0.417264914,0.5,0.742692947,2.4,2.011606992,79660.65891,231132456.1
909,01097006501,40619000,326274,Census Tract 65.01,Alabama,Mobile County,5404,752,4425,524,551,394,0,17,122,150,0,17,168,269,54,64,84,71,81.9,14.9619597,10.2,7.151503529,0,0.314581791,2.3,2.757886175,0,0.314581791,3.1,4.958959976,1,1.176116263,1.6,1.295913546,41982.01896,55402650.22
910,01097006802,12437557,37001,Census Tract 68.02,Alabama,Mobile County,3261,739,2633,739,380,223,0,12,64,60,0,12,0,12,2,4,182,229,80.7,13.36988674,11.7,6.307938442,0,0.367985281,2,1.785362809,0,0.367985281,0,0.367985281,0.1,0.121871796,5.6,6.907549426,21262.39188,16874095.6
911,01097006902,4685414,1574,Census Tract 69.02,Alabama,Mobile County,4469,669,2936,517,643,163,0,12,556,408,0,12,0,12,22,28,312,302,65.7,6.091851037,14.4,2.943477659,0,0.268516447,12.4,8.937572465,0,0.268516447,0,0.268516447,0.5,0.622189385,7,6.676359534,10972.98173,6344500.085
912,01097007000,37612371,4899111,Census Tract 70,Alabama,Mobile County,4039,543,3590,512,157,120,10,14,0,12,0,12,30,44,37,46,215,153,88.9,4.231166959,3.9,2.924712829,0.2,0.34501859,0,0.297103243,0,0.297103243,0.7,1.084792358,0.9,1.13221742,5.3,3.719854241,94590.23601,50948670.59
913,01009050400,245145237,1255670,Census Tract 504,Alabama,Blount County,3893,533,3314,470,5,9,8,12,25,31,27,42,0,12,209,120,305,184,85.1,3.149284066,0.1,0.230514449,0.2,0.306958869,0.6,0.791432283,0.7,1.074672588,0,0.308245569,5.4,2.993537191,7.8,4.60310557,99437.4435,360658612.7
914,01019955900,307952225,1998817,Census Tract 9559,Alabama,Cherokee County,4073,488,3569,462,189,119,63,70,6,11,0,12,0,12,77,77,169,123,87.6,4.294147505,4.6,2.868293139,1.5,1.708613765,0.1,0.269493849,0,0.294623128,0,0.294623128,1.9,1.876880063,4.1,2.97868609,114093.0556,450705701.1
915,01043964500,215915518,1927096,Census Tract 9645,Alabama,Cullman County,4490,893,4474,894,0,12,0,12,0,12,0,12,0,12,8,12,8,11,99.6,1.923669258,0,0.267260579,0,0.267260579,0,0.267260579,0,0.267260579,0,0.267260579,0.2,0.264900894,0.2,0.242412479,137564.7561,317753230.6
916,01043964600,132823980,838975,Census Tract 9646,Alabama,Cullman County,3766,502,3581,498,21,25,15,24,0,12,0,12,1,3,19,24,129,119,95.1,3.769329146,0.6,0.659659824,0.4,0.635065478,0,0.318640467,0,0.318640467,0,0.079581443,0.5,0.633722601,3.4,3.126688291,95880.27079,195214346.6
917,01043964700,70844279,505434,Census Tract 9647,Alabama,Cullman County,5565,508,4650,438,0,17,0,17,30,62,0,17,0,17,30,44,855,358,83.6,1.940824697,0,0.305480683,0,0.305480683,0.5,1.113018681,0,0.305480683,0,0.305480683,0.5,0.789122988,15.4,6.278322556,74685.93942,104352995.6
918,01043965100,54271573,674054,Census Tract 9651,Alabama,Cullman County,3774,548,3577,567,38,66,53,93,0,12,0,12,0,12,0,12,106,80,94.8,6.02586103,1,1.742685402,1.4,2.455777322,0,0.317965024,0,0.317965024,0,0.317965024,0,0.317965024,2.8,2.080164281,60165.64642,80124087.33
919,01043965200,55706978,993636,Census Tract 9652,Alabama,Cullman County,2564,389,2363,388,0,12,0,12,34,35,0,12,0,12,9,20,158,159,92.2,5.787247333,0,0.468018721,0,0.468018721,1.3,1.35014786,0,0.468018721,0,0.468018721,0.4,0.778211177,6.2,6.130368446,69003.63634,82362922.3
920,01043965300,140130133,1239492,Census Tract 9653,Alabama,Cullman County,4832,649,4737,646,2,4,2,6,0,12,0,12,0,12,69,57,22,30,98,2.315136553,0,0.082594574,0,0.124047675,0,0.248344371,0,0.248344371,0,0.248344371,1.4,1.163939328,0.5,0.617841949,88509.35305,206299612.6
921,01043965600,113543404,21022940,Census Tract 9656,Alabama,Cullman County,2323,581,2054,551,17,28,0,12,0,12,0,12,0,12,229,204,23,29,88.4,8.576311449,0.7,1.191360089,0,0.516573396,0,0.516573396,0,0.516573396,0,0.516573396,9.9,8.428533318,1,1.223579018,234862.6832,166584536.1
922,01055010100,32861130,0,Census Tract 101,Alabama,Etowah County,2319,386,1525,345,492,242,6,9,62,80,0,12,0,12,74,85,160,119,65.8,10.07537292,21.2,9.81984339,0.3,0.385701442,2.7,3.420938852,0,0.517464424,0,0.517464424,3.2,3.62668423,6.9,5.001361919,45963.34513,48004096.05
923,01055010602,165419219,2914620,Census Tract 106.02,Alabama,Etowah County,3637,649,3514,623,0,12,63,74,0,12,0,12,0,12,43,36,17,19,96.6,24.30366993,0,0.32994226,1.7,2.011027921,0,0.32994226,0,0.32994226,0,0.32994226,1.2,0.967081959,0.5,0.515707136,125133.2487,242086844.8
924,01055010700,87400954,2927200,Census Tract 107,Alabama,Etowah County,3309,400,2480,312,564,259,0,12,0,12,0,12,0,12,53,69,212,209,74.9,2.612096191,17,7.551089969,0,0.362647325,0,0.362647325,0,0.362647325,0,0.362647325,1.6,2.076213851,6.4,6.268446183,110152.1777,127730935.3
925,01055010800,130921737,67724,Census Tract 108,Alabama,Etowah County,2622,340,2521,345,50,46,35,34,1,2,0,12,0,12,0,12,15,17,96.1,4.205546203,1.9,1.736871972,1.3,1.285115342,0,0.076117157,0,0.457665904,0,0.457665904,0,0.457665904,0.6,0.644102167,61993.17622,191655481.3
926,01055010900,95629504,48836,Census Tract 109,Alabama,Etowah County,1823,301,1803,301,0,12,0,12,0,12,0,12,0,12,14,22,6,9,98.9,2.439057597,0,0.658255623,0,0.658255623,0,0.658255623,0,0.658255623,0,0.658255623,0.8,1.20012192,0.3,0.490691694,65529.05567,140033026.2
927,01055011001,86723293,119602,Census Tract 110.01,Alabama,Etowah County,4646,437,4359,432,4,6,96,66,21,25,0,12,0,12,121,95,45,40,93.8,2.929143098,0.1,0.128889198,2.1,1.40721887,0.5,0.536415105,0,0.258286698,0,0.258286698,2.6,2.030042868,1,0.856121945,61424.39288,127144258.7
928,01055011002,92913146,392650,Census Tract 110.02,Alabama,Etowah County,4919,678,4678,693,0,12,9,15,0,12,3,5,0,12,74,71,155,136,95.1,5.16320375,0,0.243952023,0.2,0.303895459,0,0.243952023,0.1,0.101298486,0,0.243952023,1.5,1.428411408,3.2,2.730463226,54398.4164,136476870.6
929,01055011100,205444753,671935,Census Tract 111,Alabama,Etowah County,5198,562,4933,519,21,26,33,39,22,24,0,17,0,17,108,78,81,114,94.9,14.316891,0.4,0.498281519,0.6,0.747142211,0.4,0.459442841,0,0.327048865,0,0.327048865,2.1,1.48366726,1.6,2.186670225,96891.50982,301043135.2
930,01093964200,272992920,60583,Census Tract 9642,Alabama,Marion County,1411,317,1362,320,37,35,0,12,0,12,0,12,0,12,12,13,0,12,96.5,6.636713827,2.6,2.409536004,0,0.850460666,0,0.850460666,0,0.850460666,0,0.850460666,0.9,0.901302745,0,0.850460666,110199.2478,400368907
931,01093964500,294327934,316290,Census Tract 9645,Alabama,Marion County,2128,425,2096,425,11,15,0,12,0,12,0,12,0,12,0,12,21,33,98.5,3.450504727,0.5,0.697286143,0,0.563909774,0,0.563909774,0,0.563909774,0,0.563909774,0,0.563909774,1,1.538176471,128539.4662,430336843.3
932,01133965502,145685161,16640861,Census Tract 9655.02,Alabama,Winston County,3137,591,2981,592,3,5,4,8,50,44,0,12,0,12,69,62,30,35,95,5.968694955,0.1,0.158366381,0.1,0.25388676,1.6,1.370093793,0,0.382531081,0,0.382531081,2.2,1.932480554,1,1.101072478,320409.6164,213367333.9
